"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Обновление объявлений","1","0","Успешное удаление объявления","0"
"0","","0","Регистрация пользователя","1","0","Регистрация с уже существующим email","0"
"0","","0","Обновление объявлений","6","0","Успешное обновление поля объявления","0"
"0","","0","Создание объявлений","5","0","Успешное создание объявления","0"
"0","","0","Авторизация пользователя","1","0","Успешная авторизация пользователя","0"
"0","","0","Регистрация пользователя","1","0","Успешная регистрация нового пользователя","0"
"0","","0","Обновление объявлений","1","0","Успешное обновление фото объявления","0"
"0","","0","Обновление объявлений","1","0","Попытка обновления другим пользователем","0"
